[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:frosted_prison' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:ruined_citadel' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:soul_black_smith' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:sunken_city' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Rule 'cataclysm_all' in civil:civil_zone_policies/l_enders_cataclysm.json has no valid structures, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:naga_courtyard' in civil:civil_zone_policies/twilight_forest.json (rule=tf_boss_progression), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:lich_tower' in civil:civil_zone_policies/twilight_forest.json (rule=tf_boss_progression), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:labyrinth' in civil:civil_zone_policies/twilight_forest.json (rule=tf_boss_progression), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:hydra_lair' in civil:civil_zone_policies/twilight_forest.json (rule=tf_boss_progression), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:knight_stronghold' in civil:civil_zone_policies/twilight_forest.json (rule=tf_boss_progression), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:dark_tower' in civil:civil_zone_policies/twilight_forest.json (rule=tf_boss_progression), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:troll_cave' in civil:civil_zone_policies/twilight_forest.json (rule=tf_boss_progression), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:yeti_cave' in civil:civil_zone_policies/twilight_forest.json (rule=tf_boss_progression), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:aurora_palace' in civil:civil_zone_policies/twilight_forest.json (rule=tf_boss_progression), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:final_castle' in civil:civil_zone_policies/twilight_forest.json (rule=tf_boss_progression), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Rule 'tf_boss_progression' in civil:civil_zone_policies/twilight_forest.json has no valid structures, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:hedge_maze' in civil:civil_zone_policies/twilight_forest.json (rule=tf_mazes_hollows), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:giant_house' in civil:civil_zone_policies/twilight_forest.json (rule=tf_mazes_hollows), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:hollow_tree' in civil:civil_zone_policies/twilight_forest.json (rule=tf_mazes_hollows), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:large_hollow_hill' in civil:civil_zone_policies/twilight_forest.json (rule=tf_mazes_hollows), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:medium_hollow_hill' in civil:civil_zone_policies/twilight_forest.json (rule=tf_mazes_hollows), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:small_hollow_hill' in civil:civil_zone_policies/twilight_forest.json (rule=tf_mazes_hollows), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:mushroom_tower' in civil:civil_zone_policies/twilight_forest.json (rule=tf_mazes_hollows), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:swamp_hollow_tree' in civil:civil_zone_policies/twilight_forest.json (rule=tf_mazes_hollows), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'twilightforest:fallen_trunk' in civil:civil_zone_policies/twilight_forest.json (rule=tf_mazes_hollows), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Rule 'tf_mazes_hollows' in civil:civil_zone_policies/twilight_forest.json has no valid structures, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'dungeons_arise:abandoned_temple' in civil:civil_zone_policies/when_dungeons_arise.json (rule=dungeons_arise_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'dungeons_arise:aviary' in civil:civil_zone_policies/when_dungeons_arise.json (rule=dungeons_arise_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'dungeons_arise:bandit_towers' in civil:civil_zone_policies/when_dungeons_arise.json (rule=dungeons_arise_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'dungeons_arise:bandit_village' in civil:civil_zone_policies/when_dungeons_arise.json (rule=dungeons_arise_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'dungeons_arise:ceryneian_hind' in civil:civil_zone_policies/when_dungeons_arise.json (rule=dungeons_arise_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'dungeons_arise:coliseum' in civil:civil_zone_policies/when_dungeons_arise.json (rule=dungeons_arise_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'dungeons_arise:foundry' in civil:civil_zone_policies/when_dungeons_arise.json (rule=dungeons_arise_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'dungeons_arise:heavenly_challenger' in civil:civil_zone_policies/when_dungeons_arise.json (rule=dungeons_arise_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'dungeons_arise:heavenly_conqueror' in civil:civil_zone_policies/when_dungeons_arise.json (rule=dungeons_arise_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'dungeons_arise:heavenly_rider' in civil:civil_zone_policies/when_dungeons_arise.json (rule=dungeons_arise_all), skipping
